variable,issue,transform_applied,quality,n_nonmissing,raw_skew,final_skew,raw_kurtosis,final_kurtosis,guess_reason
self_suff_w,Mixed-sign with right skew,rank_normal,strong,2095,0.8073985688279238,0.4499117321401018,-0.737209808477179,-0.33037984843264523,mixed-sign or otherwise messy support
surplus_margin_w,Mixed-sign with left skew,rank_normal,strong,2095,-10.5199131039044,-1.074207003637754e-05,137.44884803050266,-0.05540665864120964,mixed-sign or otherwise messy support
debt_secured_w,"Bounded [0,1] with substantial zero mass",hurdle (rank positive part),weak,2095,2.4320834100239552,1.9696570617068192,4.418995172889709,2.472467404289943,"bounded [0,1] with substantial zero mass (p0=0.809)"
debt_unsecured_w,"Bounded [0,1] with substantial zero mass",hurdle (rank positive part),weak,2095,3.7129678030201116,2.828234959415808,12.875048139572048,6.879641930902981,"bounded [0,1] with substantial zero mass (p0=0.880)"
expenses_affiliates_w,"Bounded [0,1] with substantial zero mass",hurdle (rank positive part),weak,2095,10.23246389488714,3.125774125390208,121.53640928139019,8.788672888359969,"bounded [0,1] with substantial zero mass (p0=0.895)"
expenses_membbenefits_w,"Bounded [0,1] with substantial zero mass",hurdle (rank positive part),weak,2095,14.664848778969972,7.716607476566243,229.29610463800032,62.625957902866574,"bounded [0,1] with substantial zero mass (p0=0.977)"
revenue_fedcampaign_w,"Bounded [0,1] with substantial zero mass",hurdle (rank positive part),weak,2095,14.14888366610133,3.3649402289777646,214.5789907393452,10.434093869819653,"bounded [0,1] with substantial zero mass (p0=0.907)"
revenue_membdues_w,"Bounded [0,1] with substantial zero mass",hurdle (rank positive part),weak,2095,4.783340687031633,2.2360872718182074,23.173797004808005,3.6664840634030105,"bounded [0,1] with substantial zero mass (p0=0.836)"
revenue_reltdorgs_w,"Bounded [0,1] with substantial zero mass",hurdle (rank positive part),weak,2095,8.025521692543288,3.2362849160640055,70.19383263254146,9.544128628415443,"bounded [0,1] with substantial zero mass (p0=0.901)"
prog_exp_w,"Bounded [0,1] with boundary pile-up",logit,weak,2095,-1.8236993155923527,-1.148616482664413,2.74634726203327,4.023450259254559,"bounded [0,1] with limited boundary pile-up"
